Temps;pxt;pyt;pzt;rxt;ryt;rzt;pxb1;pyb1;pzb1;pxb2;pyb2;pzb2;pxb3;pyb3;pzb3;pxb4;pyb4;pzb4rxb1;ryb1;rzb1;rxb2;ryb2;rzb2;rxb3;ryb3;rzb3;rxb4;ryb4;rzb4
0:1;-4.047131;0.9644685;3.445222;8.22438;0.01024449;359.8505;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047178;0.9644766;3.445143;8.210103;-0.003179757;359.8586;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047204;0.964541;3.444989;8.15028;359.9422;359.8676;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047214;0.9646422;3.444861;8.061152;359.8802;359.8828;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047239;0.964739;3.444818;8.036256;359.8453;359.8747;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047269;0.9648111;3.444777;7.990486;359.7933;359.8622;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047493;0.9651884;3.444759;7.70436;359.5926;359.8267;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047493;0.9651884;3.444759;7.70436;359.5926;359.8267;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047915;0.9660863;3.44493;7.347695;359.3702;359.8304;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.048001;0.966431;3.445038;7.092782;359.2362;359.8351;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.048204;0.9672852;3.445177;6.472936;358.9059;359.6955;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.048324;0.9677569;3.445269;6.160528;358.7477;359.6493;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.048491;0.9681443;3.445271;5.841303;358.5666;359.6055;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.04878;0.9690514;3.445225;5.303498;358.1175;359.615;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.049341;0.9699434;3.445044;4.697917;357.624;359.6343;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.049628;0.9702978;3.445022;4.420068;357.3307;359.6581;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
